[ 1170.357543] PUF Read:0x01000000 at 0xa00102b0
[ 1170.357604] PUF Read:0x00000000 at 0xa00102b4
[ 1170.357604] PUF Read:0x00000000 at 0xa00102b8
[ 1170.357666] PUF Read:0x01000001 at 0xa00102bc
[ 1170.357696] PUF Read:0x00000000 at 0xa00102c0
[ 1170.357696] PUF Read:0x00000000 at 0xa00102c4
[ 1170.357696] PUF Read:0x00000000 at 0xa00102c8
[ 1170.357757] PUF Read:0x00000001 at 0xa00102cc
[ 1170.357757] PUF Read:0x00000000 at 0xa00102d0
[ 1170.357818] PUF Read:0x00000000 at 0xa00102d4
[ 1170.357849] PUF Read:0x00000000 at 0xa00102d8
[ 1170.357849] PUF Read:0x00000000 at 0xa00102dc
[ 1170.357849] PUF Read:0x00010000 at 0xa00102e0
[ 1170.357849] PUF Read:0x00000000 at 0xa00102e4
[ 1170.357849] PUF Read:0x00000000 at 0xa00102e8
[ 1170.357971] PUF Read:0x00000000 at 0xa00102ec
[ 1170.357971] PUF Read:0x00000000 at 0xa00102f0
[ 1170.357971] PUF Read:0x00000040 at 0xa00102f4
[ 1170.357971] PUF Read:0x00000000 at 0xa00102f8
[ 1170.357971] PUF Read:0x00004000 at 0xa00102fc
[ 1170.358093] PUF Read:0x00000000 at 0xa0010300
