[ 3849.861663] PUF Read:0xaaaaaaaa at 0xa00083a0
[ 3849.861663] PUF Read:0xaaaaaaaa at 0xa00083a4
[ 3849.861663] PUF Read:0xaaaaaaaa at 0xa00083a8
[ 3849.861663] PUF Read:0xaaaabaaa at 0xa00083ac
[ 3849.861755] PUF Read:0xaaaaaaa2 at 0xa00083b0
[ 3849.861755] PUF Read:0xaaaaaaaa at 0xa00083b4
[ 3849.861846] PUF Read:0xaaaaaaaa at 0xa00083b8
[ 3849.861877] PUF Read:0xaaaaaaaa at 0xa00083bc
[ 3849.861907] PUF Read:0xaaaaaaaa at 0xa00083c0
[ 3849.861907] PUF Read:0xaeaaaaaa at 0xa00083c4
[ 3849.861907] PUF Read:0xaaaaaaaa at 0xa00083c8
[ 3849.861907] PUF Read:0xaaa2aaaa at 0xa00083cc
[ 3849.861999] PUF Read:0xaaaaaaaa at 0xa00083d0
[ 3849.861999] PUF Read:0xaaabaaaa at 0xa00083d4
[ 3849.862060] PUF Read:0xaa2aaaaa at 0xa00083d8
[ 3849.862091] PUF Read:0xaaaaa2aa at 0xa00083dc
[ 3849.862091] PUF Read:0xaabeaaaa at 0xa00083e0
[ 3849.862091] PUF Read:0xb2aaa8aa at 0xa00083e4
[ 3849.862152] PUF Read:0xaaaaaa2a at 0xa00083e8
[ 3849.862152] PUF Read:0xaaaaaaaa at 0xa00083ec
[ 3849.862213] PUF Read:0xaaa8aeaa at 0xa00083f0
[ 3849.862243] PUF Read:0xaaaaaaaa at 0xa00083f4
[ 3849.862243] PUF Read:0xaaaaaaae at 0xa00083f8
[ 3849.862243] PUF Read:0x8aaeaaaa at 0xa00083fc
[ 3849.862304] PUF Read:0xaaa2aeea at 0xa0010000
[ 3849.862304] PUF Read:0xaaa8aaaa at 0xa0010004
[ 3849.862365] PUF Read:0xaaaaaaaa at 0xa0010008
[ 3849.862396] PUF Read:0xaa8aeaaa at 0xa001000c
[ 3849.862396] PUF Read:0xaaaaaaaa at 0xa0010010
[ 3849.862396] PUF Read:0xabeaaaaa at 0xa0010014
[ 3849.862457] PUF Read:0xabaaaaaa at 0xa0010018
[ 3849.862457] PUF Read:0xaeaaaaaa at 0xa001001c
[ 3849.862518] PUF Read:0xaaaaa8aa at 0xa0010020
[ 3849.862548] PUF Read:0xaeaaaaaa at 0xa0010024
[ 3849.862548] PUF Read:0xaaaa2aaa at 0xa0010028
[ 3849.862548] PUF Read:0xaaaaaaaa at 0xa001002c
[ 3849.862609] PUF Read:0xaaaaaa8a at 0xa0010030
[ 3849.862609] PUF Read:0xaaaaaaaa at 0xa0010034
[ 3849.862670] PUF Read:0xaaaaaaaa at 0xa0010038
[ 3849.862670] PUF Read:0xaaaaaaaa at 0xa001003c
[ 3849.862670] PUF Read:0xaaaaaaaa at 0xa0010040
[ 3849.862670] PUF Read:0xaeaaaaa8 at 0xa0010044
[ 3849.862762] PUF Read:0xaaaaaaaa at 0xa0010048
[ 3849.862762] PUF Read:0xebaaaaaa at 0xa001004c
[ 3849.862823] PUF Read:0x8aaaaa8a at 0xa0010050
[ 3849.862823] PUF Read:0xaaa2aaaa at 0xa0010054
[ 3849.862823] PUF Read:0xaaaaaaaa at 0xa0010058
[ 3849.862823] PUF Read:0xaabaaeaa at 0xa001005c
[ 3849.862823] PUF Read:0xaabaaaaa at 0xa0010060
[ 3849.862823] PUF Read:0xaaaaaaaa at 0xa0010064
[ 3849.862976] PUF Read:0xaaaaaaaa at 0xa0010068
[ 3849.862976] PUF Read:0x2aaaaaaa at 0xa001006c
[ 3849.862976] PUF Read:0xaaaaaaaa at 0xa0010070
[ 3849.862976] PUF Read:0xa8aaaaaa at 0xa0010074
[ 3849.862976] PUF Read:0xaaaaaaaa at 0xa0010078
[ 3849.863098] PUF Read:0xaaaaa8aa at 0xa001007c
[ 3849.863128] PUF Read:0xaaaaabaa at 0xa0010080
[ 3849.863128] PUF Read:0xaaaaaaaa at 0xa0010084
[ 3849.863128] PUF Read:0xaaaaaaaa at 0xa0010088
[ 3849.863189] PUF Read:0xaaaaaa2a at 0xa001008c
[ 3849.863189] PUF Read:0xaaaaaaaa at 0xa0010090
[ 3849.863250] PUF Read:0x2aaaaaaa at 0xa0010094
[ 3849.863281] PUF Read:0xaaaaaaaa at 0xa0010098
[ 3849.863281] PUF Read:0xaaaaaaaa at 0xa001009c
[ 3849.863281] PUF Read:0xaaaaaaaa at 0xa00100a0
